date,cat,count,text
27/11/2015,economic,1930812.19,Some text
30/11/2015,economic,1930677.798,Some text
1/12/2015,economic,1930543.406,Some text
3/12/2015,economic,5822936.264,Some text
8/12/2015,economic,1940708.48,Some text
11/12/2015,economic,1940573.342,Some text
14/12/2015,economic,3884298.185,Some text
17/12/2015,economic,1943724.595,Some text
18/12/2015,economic,1943589.21,Some text
21/12/2015,economic,1943453.824,Some text
22/12/2015,economic,3886501.493,Some text
3/01/2016,economic,1952345.84,Some text
4/01/2016,economic,7812883.463,Some text
7/01/2016,economic,3912915.167,Some text
8/01/2016,economic,1963462.632,Some text
13/01/2016,economic,1963325.758,Some text
14/01/2016,economic,1963188.884,Some text
20/01/2016,economic,1972768.811,Some text
22/01/2016,economic,1972631.26,Some text
27/01/2016,economic,5919836.984,Some text
29/01/2016,economic,1984077.119,Some text
1/02/2016,economic,1983938.731,Some text
2/02/2016,economic,3967462.296,Some text
4/02/2016,economic,3966908.741,Some text
6/02/2016,economic,1983246.788,Some text
8/02/2016,economic,1983108.399,Some text
10/02/2016,economic,1982970.011,Some text
11/02/2016,economic,1982831.622,Some text
15/02/2016,economic,1982693.233,Some text
16/02/2016,economic,4038395.42,Some text
17/02/2016,economic,4047221.259,Some text
18/02/2016,economic,2023398.711,Some text
22/02/2016,economic,8379308.053,Some text
23/02/2016,economic,2094461.284,Some text
24/02/2016,economic,4200631.075,Some text
26/02/2016,economic,4212190.744,Some text
29/02/2016,economic,2105874.661,Some text
1/03/2016,economic,12646697.14,Some text
3/03/2016,economic,4224079.309,Some text
4/03/2016,economic,2111818.182,Some text
8/03/2016,economic,2139673.771,Some text
15/03/2016,economic,6418123.675,Some text
16/03/2016,economic,6649248.76,Some text
17/03/2016,economic,4432057.373,Some text
22/03/2016,economic,2215796.147,Some text
23/03/2016,economic,2222575.064,Some text
24/03/2016,economic,4444683.592,Some text
28/03/2016,economic,2222108.528,Some text
31/03/2016,economic,2221953.017,Some text
1/04/2016,economic,2221797.505,Some text
5/04/2016,economic,9090103.582,Some text
11/04/2016,economic,6999613.29,Some text
12/04/2016,economic,2338655.542,Some text
15/04/2016,economic,4907334.1,Some text
18/04/2016,economic,7381800.087,Some text
20/04/2016,economic,2468329.782,Some text
21/04/2016,economic,4944360.878,Some text
22/04/2016,economic,2476030.52,Some text
27/04/2016,economic,2475857.007,Some text
29/04/2016,economic,12415944.2,Some text
