Date,Economic and Social Analysis ,Urban Planning Policy and Governance ,FeeWeighted Infrastructure Planning and Delivery ,Analytics
2017-06-07,6410715.578,11800039.11,5818661.247,1451881.515
2017-06-07,6410255.005,11800945.24,5818243.209,1453713.995
2017-06-08,6409794.432,11800097.35,5817825.172,1455440.497
2017-06-08,6409333.859,11799249.46,5817407.135,1457166.998
2017-06-08,6414729.653,11798401.57,5816989.097,1459249.132
2017-06-13,6417568.049,11800853.07,5816571.06,1461377.273
2017-06-13,6417106.818,11800004.94,5816153.023,1463104.67
2017-06-14,6416645.587,11815946.41,5815734.985,1465855.469
2017-06-14,6416184.356,11815097.07,5855353.485,1470027.535
2017-06-15,6415723.125,11814247.74,5854932.569,1471759.016
2017-06-15,6425562.658,11813398.4,5854511.654,1474120.733
2017-06-20,6437293.508,11816613.34,5854090.739,1476848.86
2017-06-21,6436830.66,11815763.72,5857796.697,1478835.377
2017-06-23,6446938.633,11814914.09,5862660.896,1481542.833
2017-06-23,6446475.024,11814064.46,5972108.587,1490033.377
2017-06-26,6446011.416,11834786.76,5971679.094,1493104.182
2017-06-26,6473805.938,11833935.58,5971249.6,1496590.332
2017-06-26,6473340.297,11833084.4,5998864.283,1500067.468
2017-06-26,6472874.656,11832233.22,6023861.431,1503387.14
2017-06-26,6519196.311,11831382.04,6023428.091,1508032.054
2017-06-26,6525496.004,11830530.87,6022994.75,1510204.879
2017-06-26,6546593.833,11829679.69,6022561.41,1513296.569
2017-06-26,6546122.788,11999186.59,6022128.07,1525631.324
2017-06-26,6545651.742,11998323.15,6046831.803,1528962.074
2017-06-27,6545180.696,11998777.67,6046396.654,1530813.752
2017-06-28,6550357.618,11997914.14,6045961.505,1532935.512
2017-06-28,6562715.118,11997050.6,6058355.308,1536306.84
2017-06-28,6562242.743,11996187.07,6057919.236,1538078.821
2017-06-28,6563835.712,12001519.56,6057483.163,1540367.62
2017-06-29,6563363.188,12000655.59,6057047.091,1542140.195
2017-06-29,6577118.043,11999791.61,6056611.018,1544804.99
2017-06-30,6576644.494,11998927.63,6056174.946,1546578.589
2017-07-03,6590283.75,11998063.65,6055738.873,1549239.384
2017-07-05,6606240.435,11997199.67,6071734.05,1553082.401
2017-07-06,6605764.686,11997605.67,6071296.794,1554939.413
2017-07-06,6605288.938,12015560.25,6070859.538,1557903.835
2017-07-06,6604813.19,12014694.82,6072773.739,1559830.807
2017-07-09,6604337.442,12013829.4,6072336.314,1561609.406
2017-07-10,6608058.909,12012963.97,6071898.889,1563653.788
2017-07-10,6607582.858,12020091.77,6071461.464,1565939.464
2017-07-12,6607106.808,12019225.77,6071024.039,1567718.941
2017-07-13,6606630.757,12018359.77,6070586.613,1569498.418
2017-07-13,6610855.587,12017493.77,6070149.188,1571577.014
2017-07-13,6616062.153,12016627.77,6069711.763,1573718.874
2017-07-13,6615585.354,12015761.77,6069274.338,1575499.099
2017-07-14,6622393.345,12014895.77,6076121.703,1578209.744
2017-07-17,6659488.73,12014029.77,6075683.752,1582393.31
2017-07-18,6686114.463,12013163.77,6075245.802,1585912.438
2017-07-19,6685632.477,12012297.77,6087194.016,1588492.212
2017-07-19,6716752.665,12043033.94,6086755.173,1594334.692
2017-07-19,6716268.4,12049663.94,6086316.33,1596607.799
2017-07-20,6715784.136,12048795.12,6085877.486,1598399.727
2017-07-20,6738330.271,12047926.3,6108469.043,1603157.855
2017-07-20,6768646.405,12077859.54,6108028.539,1608924.984
2017-07-20,6768158.258,12076988.5,6107588.035,1610724.677
2017-07-20,6767670.111,12076483.79,6107147.531,1612548.044
2017-07-21,6783618.448,12092049.21,6106707.027,1616474.796
2017-07-21,6804472.801,12091176.96,6106266.523,1619659.56
2017-07-24,6826858.213,12090304.7,6105826.019,1622946.905
2017-07-25,6826365.691,12090371.47,6105385.515,1624813.161
2017-07-26,6825873.168,12089499.15,6104945.011,1626618.509
2017-07-26,6825380.645,12088626.83,6132107.84,1630220.524
2017-07-31,6824888.122,12111430.72,6139557.413,1634085.03
2017-08-03,6824395.6,12119080.58,6139114.348,1636450.767
2017-08-04,6823903.077,12118205.93,6192866.297,1641800.985
2017-08-07,6823410.554,12132642.71,6192419.32,1644616.44
2017-08-08,6822918.031,12216152,6191972.343,1651956.647
2017-08-08,6860046.921,12252891.57,6191525.366,1658710.163
2017-08-08,6913334.693,12252007.01,6244861.4,1667596.175
2017-08-11,6912835.571,12251122.45,6244410.54,1669430.714
2017-08-11,6912336.45,12271437.04,6243959.68,1672659.753
2017-08-14,6930601.556,12270550.95,6243508.82,1675731.595
2017-08-17,6930101.079,12291265.62,6243057.96,1678993.263
2017-08-18,6929600.602,12291081.53,6242607.1,1680878.691
2017-08-18,6929100.125,12297228.89,6242156.24,1683182.666
2017-08-20,6928599.649,12319231.4,6249335.619,1687041.655
2017-08-22,6928099.172,12318341.54,6248884.208,1688883.403
2017-08-22,6927598.695,12317451.68,6317830.358,1695327.591
2017-08-23,6927098.219,12316561.82,6330502.253,1698046.033
2017-08-23,6926597.742,12315671.95,6330044.88,1699893.744
2017-08-23,6926870.786,12314782.09,6329587.507,1701792.933
2017-08-24,6926370.254,12313892.23,6336724.158,1704146.675
2017-08-28,6948884.252,12313002.37,6336266.236,1707530.179
2017-08-28,7129183.189,12312112.51,6335808.314,1721454.475
2017-08-28,7128667.926,12311222.65,6335350.392,1723317.521
2017-08-29,7128152.663,12310332.79,6334892.47,1725180.567
2017-08-30,7127637.399,12317666.82,6334434.548,1727594.725
2017-08-30,7139066.996,12316776.36,6337958.246,1730526.886
2017-08-30,7138550.869,12331394.24,6353008.373,1734475.005
2017-08-30,7223009.598,12330502.67,6352549.042,1742056.183
2017-08-30,7227171.947,12329611.09,6356774.331,1744560.121
2017-08-31,7226649.337,12328719.51,6356314.661,1746433.977
2017-09-04,7232889.405,12327827.94,6362617.669,1749220.479
2017-09-04,7232366.306,12326936.36,6414567.042,1754635.781
2017-09-05,7231843.207,12351659.2,6414103.093,1758246.737
2017-09-06,7231320.108,12366215.92,6413639.143,1761173.319
2017-09-06,7230797.009,12373820.69,6413175.193,1763631.046
2017-09-07,7230273.91,12372925.53,6429655.368,1766663.132
2017-09-08,7229750.811,12447108.55,6504268.374,1778748.205
2017-09-08,7247240.528,12446207.96,6503797.766,1781867.69
2017-09-08,7246716.125,12445307.36,6503327.158,1783763.294
2017-09-11,7257425.869,12444406.77,6502856.551,1786424.751
2017-09-11,7256900.654,12443506.17,6502385.943,1788321.168
2017-09-13,7256375.438,12442605.58,6639551.151,1799621.77
2017-09-14,7268164.021,12454018.78,6651384.38,1804055.084
2017-09-15,7278020.876,12453117.3,6650902.918,1806675.176
2017-09-18,7277494.018,12452215.81,6668108.835,1809797.602
2017-09-18,7276967.16,12455057.42,6667626.094,1811965.598
2017-09-19,7276440.301,12454155.66,6716443.074,1817264.503
2017-09-25,7275913.443,12473407.52,6715956.763,1820565.811
2017-09-25,7447318.926,12644436.65,6715470.451,1846163.513
2017-09-26,7446779.617,12647075.89,6714984.14,1848349.894
2017-10-02,7446240.308,12646159.96,6714497.829,1850291.438
2017-10-03,7445700.999,12654024.32,6714011.518,1852839.703
2017-10-04,7454210.699,12653107.76,6713525.207,1855407.874
2017-10-05,7453670.734,12652191.2,6725664.506,1858225.1
2017-10-09,7453130.77,12651274.64,6759965.329,1862580.801
2017-10-11,7452590.805,12660129.82,6759475.582,1865205.33
2017-10-11,7452050.841,12659212.55,6758985.836,1867152.309
2017-10-12,7451510.876,12704949.76,6758496.09,1872344.816
2017-10-12,7473566.391,12704029.11,6758006.344,1875868.786
2017-10-13,7485588.821,12715672.49,6757516.598,1879572.717
2017-10-13,7499067.65,12714750.93,6757026.852,1882505.194
2017-10-16,7498524.121,12713829.38,6802360.202,1887661.931
2017-10-16,7571445.341,12712907.82,6801867.135,1894759.158
2017-10-16,7570896.487,12711986.26,6899610.524,1903602.182
2017-10-17,7570347.633,12711064.7,6899110.335,1905572.785
2017-10-18,7569798.778,12716888.7,6898610.145,1908016.828
2017-10-18,7583211.658,12729928.38,6898109.956,1911949.913
2017-10-20,7616775.224,12729005.32,6897609.767,1916322.596
2017-10-20,7627783.783,12739643.16,6897109.578,1919926.388
2017-10-23,7627230.604,12738719.26,6898617.803,1922045.24
2017-10-23,7626677.425,12737795.36,6928224.437,1926147.414
2017-10-23,7626124.246,12742814.58,6927721.918,1928546.9
2017-10-23,7627438.954,12741890.25,6927219.4,1930659.041
2017-10-23,7626885.639,12740965.92,6930312.301,1932893.784
2017-10-24,7626332.325,12740041.59,6963907.17,1937291.2
2017-10-24,7636838.234,12739117.26,6963401.916,1940058.884
2017-10-27,7636284.118,12738192.93,6977640.279,1943089.969
2017-10-30,7635730.001,12737268.6,6977133.956,1945074.739
2017-10-30,7635175.884,12736344.26,6976627.632,1947059.509
2017-10-31,7647143.402,12739593.81,6976121.309,1950234.219
2017-10-31,7660589.393,12738669.18,6975614.986,1953219.185
2017-11-01,7660033.351,12737744.54,7008731.996,1957607.849
2017-11-01,7663467.019,12740809.62,7008223.232,1960167.867
2017-11-02,7662910.688,12743209.22,7007714.468,1962395.868
2017-11-03,7676176.812,12742284.05,7007205.704,1965376.672
2017-11-03,7675619.477,12741358.89,7009496.127,1967568.748
2017-11-07,7675062.142,12740433.72,7008987.16,1969560.214
2017-11-08,7674504.807,12756441.18,7008478.193,1972769.059
2017-11-08,7686173.989,12767741.31,7007969.226,1976521.72
2017-11-10,7719512.003,12766814.02,7041356.496,1983400.716
2017-11-10,7718951.318,12765886.74,7040845.067,1985400.112
2017-11-14,7718390.633,12764959.46,7040333.638,1987399.508
2017-11-14,7760058.935,12764032.18,7082051.196,1995503.93
2017-11-15,7759495.182,12763104.9,7109512.308,1999533.852
2017-11-15,7758931.429,12762177.62,7145536.73,2004188.465
2017-11-15,7758367.676,12761250.33,7211228.057,2011000.173
2017-11-16,7791291.82,12760323.05,7210704.061,2015446.306
2017-11-16,7801311.325,12769981.46,7210180.066,2019002.388
2017-11-17,7800744.369,12769053.41,7209656.07,2021021.39
2017-11-17,7800177.414,12786529.02,7209132.074,2024380.737
2017-11-21,7799610.458,12786718.08,7208608.079,2026482.622
2017-11-21,7830413.892,12796245.41,7208084.083,2031555.856
2017-11-21,7829844.656,13092581.6,7207560.087,2055298.893
2017-11-22,7880335.747,13091629.76,7207036.092,2061078.64
2017-11-23,7879762.798,13090677.92,7206512.096,2063127.426
2017-11-24,7879189.85,13089726.08,7213441.759,2065722.553
2017-11-24,7912243.5,13088774.24,7212917.221,2070239.282
2017-11-28,7911668.106,13183812.34,7212392.684,2079341.953
2017-11-29,7926741.98,13182853.51,7211868.146,2082551.439
2017-11-29,7926165.448,13181894.69,7229786.047,2085968.893
2017-11-30,7925588.915,13194971.59,7229260.168,2089064.403
2017-11-30,7925012.383,13194011.75,7228734.289,2091126.658
2017-12-01,7924435.851,13199407.57,7228208.41,2093658.247
2017-12-04,7998186.424,13235610.82,7227682.531,2103962.707
2017-12-04,7997604.483,13298261.32,7227156.652,2110741.02
2017-12-05,7997022.543,13297293.69,7245024.198,2114179.054
2017-12-05,8061950.541,13296326.05,7310006.918,2125971.974
2017-12-08,8061363.833,13295358.41,7309474.933,2128058.306
2017-12-08,8060777.126,13318287.88,7308942.948,2131920.527
2017-12-09,8060190.418,13325625.94,7308410.963,2134626.607
2017-12-13,8072294.949,13337347.2,7307878.978,2138605.526
2017-12-13,8071707.317,13336376.29,7320765.65,2141696.392
2017-12-14,8071119.685,13335405.38,7351667.786,2146133.795
2017-12-14,8070532.054,13380958.87,7351132.535,2151703.194
2017-12-15,8104853.783,13379984.57,7350597.284,2156411.01
2017-12-18,8109479.164,13379010.28,7350062.034,2158901.174
2017-12-19,8123540.592,13392687.97,7349526.783,2163197.309
2017-12-20,8151064.775,13419828.41,7348991.532,2169517.936
2017-12-20,8198290.999,13418851,7348456.282,2175215.371
2017-12-21,8197693.848,13448839.48,7347921.031,2179653.038
2017-12-21,8197096.697,13513714.41,7347385.78,2186720.87
2018-01-09,8199951.969,13516182.37,7346850.53,2189357.887
2018-01-10,8199354.566,13540762.8,7346315.279,2193403.117
2018-01-10,8198757.163,13539776.22,7469630.76,2204871.616
2018-01-17,8198159.761,13545762.71,7469086.485,2207526.801
2018-01-18,8206661.764,13544775.63,7477641.616,2211032.212
2018-01-19,8206063.698,13543788.54,7569894.701,2220189.277
2018-01-21,8205465.632,13551777.32,7578318.864,2223686.902
2018-01-22,8228081.117,13550789.58,7577766.508,2227586.51
2018-01-24,8253165.433,13549801.85,7577214.152,2231677.289
2018-01-24,8252563.803,13548814.11,7595480.852,2235249.959
2018-01-24,8251962.172,13569106.61,7594927.124,2239012.812
2018-01-24,8269452.077,13568117.32,7612464.931,2243914.391
2018-01-24,8268849.127,13567128.03,7627138.371,2247223.191
2018-01-25,8268246.178,13569855,7626582.214,2249655.328
2018-01-25,8267643.228,13589977.33,7626026.057,2253417.565
2018-01-25,8267040.279,13600597.85,7625469.9,2256456.153
2018-01-29,8266437.329,13726268.03,7624913.743,2268307.809
2018-01-29,8265834.38,13742867.49,7624357.585,2271817.455
2018-01-31,8270331.995,13746965.58,7623801.428,2274761.902
2018-01-31,8269728.673,13745962.74,7634389.174,2277780.321
2018-02-05,8269125.352,13744959.9,7676036.655,2283189.004
2018-02-06,8268522.03,13816677.37,7675476.605,2290953.17
2018-02-06,8267918.709,13838387.6,7674916.556,2294875.317
2018-02-07,8267315.387,13928024.62,7674356.507,2304040.664
2018-02-08,8274388.11,13950036.33,7673796.457,2308591.28
2018-02-12,8281442.307,13951570.92,7673236.408,2311562.541
2018-02-13,8280837.867,14043371.06,7672676.359,2320926.891
2018-02-13,8280233.426,14045315.97,7672116.309,2323346.472
2018-02-13,8281485.083,14044290.69,7671556.26,2325680.145
2018-02-13,8280880.506,14054401.18,7670996.21,2328734.278
2018-02-14,8286730.495,14053375.09,7670436.161,2331426.432
2018-02-20,8293467.025,14052349,7677217.69,2334759.467
2018-02-22,8299463.044,14051322.9,7683258.707,2337979.524
2018-02-22,8298856.979,14054053.42,7682697.639,2340465.477
2018-02-26,8298250.913,14082665.23,7682136.572,2344970.808
2018-03-01,8297644.848,14081636.7,7681575.504,2347166.473
2018-03-01,8304377.679,14080608.16,7688353.334,2350509.344
2018-03-01,8303771.078,14084587.8,7687791.73,2353097.911
2018-03-02,8367490.527,14083558.9,7751556.178,2365370.632
2018-03-03,8366879.226,14082530,7750989.875,2367577.135
2018-03-05,8392049.715,14081501.11,7750423.572,2371806.846
2018-03-06,8399399.049,14080472.21,7749857.269,2374640.714
2018-03-07,8416283.568,14079443.31,7749290.966,2378225.607
2018-03-09,8451359.274,14078414.41,7748724.663,2383245.101
2018-03-09,8462820.713,14089464.61,7760237.452,2388313.079
2018-03-09,8462202.176,14180267.56,7759670.266,2397771.294
2018-03-09,8461583.639,14179231.07,7759103.08,2399993.51
2018-03-13,8467846.306,14178194.58,7758535.895,2402759.522
2018-03-14,8504807.479,14214738.3,7757968.709,2410927.816
2018-03-15,8504185.692,14213699.06,7799301.022,2416473.802
2018-03-16,8573055.774,14212659.81,7798730.772,2424213.21
2018-03-16,8572428.905,14211620.57,7807425.428,2427184.664
2018-03-20,8575044.517,14213823.81,7806854.501,2429936.741
2018-03-20,8574417.411,14212784.33,7806283.574,2432174.252
2018-03-20,8573790.305,14225691.37,7819659.162,2436631.453
2018-03-20,8573163.199,14237729.09,7819087.215,2439912.785
2018-03-21,8572536.093,14236687.64,7831990.776,2443227.784
2018-03-22,8571908.988,14251667.44,7831417.843,2446748.024
2018-03-22,8603368.345,14250624.81,7830844.91,2451554.226
2018-03-23,8624336.641,14271179.93,7830271.978,2457253.741
2018-03-27,8659620.522,14270135.72,7829699.045,2462377
2018-04-03,8658986.86,14270202.49,7829126.112,2464716.826
2018-04-03,8762041.296,14303720.9,7828553.179,2478056.913
2018-04-04,8761400.046,14334707.11,7827980.247,2482889.84
2018-04-04,8760758.796,14368354.38,7827407.314,2487941.7
2018-04-04,8760117.546,14450295.85,7826834.381,2496884.219
2018-04-04,8759476.296,14535140.42,7826261.448,2506073.644
2018-04-04,8792186.696,14534076.36,7825688.516,2511040.243
2018-04-05,8791543.004,14615987.24,7825115.583,2520015.793
2018-04-10,8790899.312,14648647.81,7824542.65,2525026.801
2018-04-13,8790255.62,14667873.23,7823969.717,2528957.002
2018-04-13,8811389.618,14666799.13,7845174.474,2534772.345
2018-04-16,8854685.05,14665725.04,7844599.947,2540625.538
2018-04-16,8854036.545,14666130.94,7844025.419,2543042.668
2018-04-20,8860787.498,14665056.73,7843450.891,2545940.448
2018-04-20,8860138.451,14663982.53,7842876.364,2548238.228
2018-04-23,8863188.591,14662908.32,7842301.836,2550836.821
2018-04-23,8862539.274,14693027.63,7841727.309,2555673.959
2018-04-23,8861889.956,14691951.14,7850399.393,2558727.683
2018-04-24,8865401.309,14690874.65,7853984.859,2561707.356
2018-04-25,8864751.686,14731471.57,7853409.349,2567411.016
2018-04-30,8864102.063,14815916.23,7852833.839,2576704.297
2018-04-30,8863452.44,14814830.42,7852258.329,2579015.242
2018-05-02,8889397.425,14813744.61,7851682.819,2583503.581
2018-05-03,8904500.006,14812658.79,7856358.693,2587537.938
2018-05-03,8906157.746,14811572.98,7858093.266,2590231.438
2018-05-03,8920226.07,14815394.24,7857517.202,2594157.919
2018-05-08,8937220.553,14814308.07,7856941.137,2597924.672
2018-05-08,8936565.284,14846832.73,7856365.073,2603007.346
2018-05-09,8935910.014,14845744.09,7862856.966,2605909.359
2018-05-10,8946479.501,14844655.45,7862280.383,2609155.092
2018-05-14,8945823.408,14843566.82,7861703.801,2611476.405
2018-05-16,8994523.809,14842478.18,7861127.218,2617873.954
2018-05-17,8996034.662,14841389.54,7862721.201,2620557.755
2018-05-18,9003124.065,14848050.18,7862144.46,2624165.456
2018-05-24,9017320.371,14846960.97,7861567.718,2627722.368
2018-05-24,9020468.038,14845871.77,7860990.976,2630365.648
2018-05-29,9019806.228,14854417.97,7860414.234,2633492.998
2018-05-30,9197342.29,14853328.06,7859837.492,2650623.34
2018-05-30,9196667.404,14856138.83,7863161.433,2653613.515
2018-05-31,9218287.092,14855048.63,7862584.405,2657811.054
2018-05-31,9235149.527,14853958.43,7879546.334,2663076.89
2018-05-31,9343142.501,14852868.23,7878968.018,2674484.429
2018-05-31,9342456.716,14854295.21,7878389.703,2677048.817
2018-05-31,9341770.93,14868155.81,7877811.388,2680652.326
2018-06-05,9341085.145,14867064.33,7877233.072,2683007.908
2018-06-06,9352221.814,14865972.84,7876654.757,2686353.035
2018-06-06,9359528.019,14864881.36,7884069.3,2690048.768
2018-06-13,9493625.505,14863789.88,7883490.398,2703709.385
2018-06-14,9492928.367,14869649.9,7882911.495,2706660.41
2018-06-15,9492231.229,14886546.52,7900321.211,2712051.206
2018-06-19,9491534.091,14885453.21,7926765.287,2716694.581
2018-06-19,9511036.588,14884359.9,7926183.079,2720767.605
2018-06-20,9528322.62,14883266.59,7925600.87,2724657.094
2018-06-21,9527622.677,14929279,7925018.662,2731005.33
2018-06-21,9526922.734,14928182.23,7924436.454,2733384.254
2018-06-25,9526222.792,14927085.45,7928695.201,2736172.224
2018-06-26,9567318.891,14925988.68,7928112.637,2742086.462
2018-06-26,9566615.876,14991824.64,7927530.073,2750135.077
2018-06-26,9565912.862,14997913.64,7926947.509,2753131.656
2018-06-26,9570164.608,14996811.42,7926364.945,2755939.695
2018-06-26,9570382.977,14995709.2,7925782.381,2758406.109
2018-06-26,9585910.32,14994606.98,7925199.817,2762173.551
2018-06-26,9585205.681,14993504.76,7924617.253,2764562.975
2018-06-29,9617813.501,15025715,7957347.149,2775460.521
2018-06-29,9638836.222,15024610.33,7978491.945,2781560.673
2018-06-29,9638127.536,15065387.89,7977905.334,2787532.947
2018-07-02,9637418.85,15064280.14,7977318.723,2789935.993
2018-07-05,9668570.113,15095032.34,7976732.113,2797784.142
2018-07-09,9667859.084,15117154.14,7976145.502,2802178.981
2018-07-09,9667148.055,15141465.76,7975558.891,2806765.006
2018-07-11,9666437.026,15167776.96,7974972.28,2811526.444
2018-07-11,9665725.997,15179859.24,7974385.67,2815071.802
2018-07-12,9665014.968,15178742.58,7991849.384,2819035.775
2018-07-13,9689922.926,15177625.92,8016880.432,2825854.429
2018-07-16,9689210.012,15176509.26,8019053.007,2828511.427
2018-07-23,9688497.098,15175392.61,8021501.395,2831192.611
2018-07-24,9687784.185,15200152.13,8020911.144,2835842.253
2018-07-27,9687071.271,15205938.04,8020320.894,2838859.508
2018-07-31,9686358.357,15207028.23,8019730.644,2841472.475
2018-08-01,9685645.444,15205909,8019140.394,2843894.873
2018-08-02,9721748.248,15204789.77,8018550.143,2849501.552
2018-08-02,9721032.624,15203670.53,8017959.893,2851926.66
2018-08-02,9729519.575,15202551.3,8017369.643,2855149.193
2018-08-03,9735014.554,15201432.07,8016779.392,2858113.698
2018-08-03,9734297.796,15209094.48,8016189.142,2861302.296
2018-08-09,9757870.468,15232264.03,8039888.323,2870060.893
2018-08-09,9757151.921,15244977.11,8039296.284,2873696.392
2018-08-14,9756433.374,15250592.83,8038704.245,2876716.261
2018-08-15,9755714.827,15261783.94,8038112.206,2880223.008
2018-08-27,9754996.279,15272966.55,8037520.167,2883730.986
2018-08-28,9754277.732,15271841.55,8036928.128,2886166.57
2018-08-31,9753559.185,15270716.55,8176048.967,2900809.275
2018-09-03,9803766.056,15269591.55,8175446.636,2907708.734
2018-09-06,9803043.757,15271684.85,8174844.304,2910440.069
2018-09-06,9832809.776,15270559.62,8204730.291,2918232.298
2018-09-06,9832085.23,15278559.19,8204125.712,2921486.843
2018-09-07,9831360.684,15277433.29,8236909.516,2926872.493
2018-09-12,9872243.753,15276307.38,8236302.477,2932985.37
2018-09-17,9871516.14,15275181.47,8313929.047,2942325.319
2018-09-21,9899586.637,15331651.78,8342114.351,2954930.209
2018-09-24,9898856.902,15339712.01,8341499.423,2958214.645
2018-09-26,9898127.167,15366536.25,8368839.568,2965619.992
2018-09-26,9897397.431,15420630.23,8368222.579,2972973.645
2018-09-28,9896667.696,15494229.45,8367605.59,2982059.156
2018-10-01,9921204.052,15493086.97,8366988.601,2986782.263
2018-10-01,9920472.454,15497874.29,8372301.402,2990322.845
2018-10-09,9919740.855,15496731.38,8372545.192,2992891.063
2018-10-17,9919009.257,15495588.47,8388902.759,2996888.006
2018-10-17,9918277.659,15523720.78,8388284.017,3001979.036
2018-10-17,9917546.061,15533872.37,8387665.275,3005477.78
2018-10-17,9930934.677,15532726.47,8387046.533,3009229.27
2018-10-19,9964199.711,15565578.24,8420425.466,3020801.632
2018-10-19,9964290.965,15564429.83,8419804.216,3023380.04
2018-10-24,9963555.756,15586166.48,8419182.966,3027924.844
2018-10-26,9962820.547,15659398.32,8418561.715,3037067.65
2018-10-29,9962085.337,15664354.25,8424051.983,3040671.203
2018-10-29,9995979.94,15697828.02,8423430.282,3049374.53
2018-10-30,9995242.175,15712950.89,8422808.581,3053349.128
2018-10-31,9994504.41,15831135.94,8422186.88,3066554.545
2018-10-31,10055594.59,15891795.27,8421565.178,3080164.729
2018-10-31,10054852.26,15892549.23,8420943.477,3082874.798
2018-11-05,10054109.93,15901888.12,8420321.776,3086355.944
2018-11-07,10053367.6,15900714.03,8470474.397,3093456.744
2018-11-07,10052625.27,15942259.46,8469848.946,3099840.911
2018-11-09,10051882.94,15950760.91,8469223.496,3103257.241
2018-11-12,10067584.01,15949582.95,8468598.045,3107284.587
2018-11-15,10066840.46,15954326.01,8467972.595,3110365.522
2018-11-19,10066096.92,15953147.61,8512950.76,3117029.299
2018-11-22,10088090.22,15951969.21,8512321.941,3121634.219
2018-11-22,10087344.99,16004329.55,8511693.122,3129027.927
2018-11-26,10086599.77,16012604.27,8511064.303,3132440.245
2018-11-27,10094189.51,16011421.22,8510435.484,3135752.376
2018-11-29,10093443.67,16097272.96,8509806.665,3146201.292
2018-11-29,10136933.54,16140319.18,8509177.846,3156794.024
2018-12-07,10136184.43,16186017.4,8508549.027,3163623.738
2018-12-10,10135435.32,16226698.18,8507920.208,3170004.883
2018-12-11,10145238.56,16225498.87,8517843.734,3174502.432
2018-12-12,10157433.87,16237244.76,8517214.136,3179439.081
2018-12-18,10156683.03,16244911.27,8516584.537,3182828.011
2018-12-19,10155932.18,16317593.5,8515954.938,3192149.866
2018-12-19,10155181.34,16316387.12,8615860.412,3203916.795
2018-12-19,10154430.49,16315180.73,8708614.122,3215046.327
2018-12-20,10153679.65,16387269.73,8707970.184,3224352.104
2018-12-21,10152928.8,16386057.93,8912608.859,3245753.242
2018-12-24,10152177.96,16583705.59,8911949.74,3266597.547
2019-01-01,10151427.11,16582479.07,8911290.62,3304554.026
2019-01-08,10150676.27,16606869.05,8910631.501,3309542.015
2019-01-09,10149925.42,16605640.64,8946277.737,3315516.034
2019-01-14,10149174.58,16773010.25,8945615.932,3333661.077
2019-01-17,10164362.72,16777082.36,8944954.127,3338270.623
2019-01-21,10163610.7,16775841.08,8944292.322,3340925.728
2019-01-21,10170641.12,16774599.81,8943630.518,3344298.38
2019-01-25,10178357.04,16781827.05,8942968.713,3348517.035
2019-01-30,10177603.81,16780585.14,8965193.087,3353287.791
2019-01-31,10176850.58,16832257.66,8964529.588,3360837.997
2019-02-04,10176921.14,16831011.84,8963866.09,3363576.761
2019-02-05,10176167.85,16832786.33,8963202.591,3366519.061
2019-02-07,10182209.74,16831540.29,8962539.092,3377236.707
2019-02-07,10181455.95,16884274.66,8961875.594,3384907.625
2019-02-07,10180702.16,16959817.58,8961212.095,3394704.997
2019-02-08,10179948.37,16977707.66,8960548.597,3399157.203
2019-02-11,10179194.58,16976450.52,8959885.098,3411694.635
2019-02-12,10178440.79,16975193.38,8959221.599,3414369.067
2019-02-12,10177687,16995758.06,8958558.101,3419076.67
2019-02-14,10176933.21,16994499.3,8957894.602,3421752.718
2019-02-14,10176179.41,16993240.55,8957231.104,3424428.766
2019-02-14,10200817.64,16991981.79,8956567.605,3429476.793
2019-02-15,10200061.97,17054399.57,8955904.106,3438108.181
2019-02-19,10199306.3,17053136.09,9219255.096,3465496.34
2019-02-19,10198550.63,17071823.11,9218572.036,3470067.059
2019-02-19,10214456.07,17087219.27,9234550.09,3477456.104
2019-02-19,10213699.16,17140015.01,9233865.796,3544369.556
2019-02-19,10212942.26,17161598.82,9233181.502,3574226.955
2019-02-26,10212185.35,17160326.93,9232497.207,3576940.045
2019-02-26,10211428.44,17163082.23,9231812.913,3580031.944
2019-03-01,10367986.32,17161810.04,9231128.619,3597555.546
2019-03-04,10377579.88,17163991.9,9230444.325,3601582.423
2019-03-05,10376810.55,17162719.45,9243933.397,3605645.132
2019-03-06,10376041.21,17161447.01,9243248.052,3608372.257
2019-03-07,10379840.3,17160174.57,9242562.707,3611530.954
2019-03-07,10408140.12,17158902.12,9241877.362,3617006.924
2019-03-11,10415932.82,17157629.68,9241192.017,3620547.011
2019-03-11,10415160.36,17159440.24,9240506.672,3623569.263
2019-03-18,10440725.06,17184504.74,9266158.496,3633789.488
2019-03-18,10446344.07,17183230.11,9265471.197,3637132.404
2019-03-20,10445569.17,17181955.48,9297233.62,3642950.501
2019-03-21,10444794.28,17180680.86,9308854.122,3646859.648
2019-03-25,10444019.39,17179406.23,9308163.503,3719330.787
2019-03-27,10461506.01,17178131.61,9307472.884,3723809.408
2019-03-28,10465294.8,17176856.98,9311347.305,3727420.821
2019-03-29,10464518.21,17175582.36,9362748.315,3792190.125
2019-03-29,10463741.63,17174307.73,9382742.508,3819574.425
2019-04-02,10462965.04,17182087.22,9382046.149,3823186.886
2019-04-02,10481336.76,17180811.92,9381349.79,3827765.818
2019-04-04,10480558.76,17220948.99,9422065.804,3838440.738
2019-04-10,10479780.75,17219670.62,9438432.021,3898930.902
