date,cat,count,text
2015-11-30,economic,1930677.80,Some text
2015-12-01,economic,1930543.41,Some text
2015-12-03,economic,5822936.26,Some text
2015-12-08,economic,1940708.48,Some text
2015-12-11,economic,1940573.34,Some text
2015-12-14,economic,3884298.19,Some text
2015-12-17,economic,1943724.60,Some text
2015-12-18,economic,1943589.21,Some text
2015-12-21,economic,1943453.82,Some text
2015-12-22,economic,3886501.49,Some text
2016-01-03,economic,1952345.84,Some text
2016-01-04,economic,7812883.46,Some text
2016-01-07,economic,3912915.17,Some text
2016-01-08,economic,1963462.63,Some text
2016-01-13,economic,1963325.76,Some text
2016-01-14,economic,1963188.88,Some text
2016-01-20,economic,1972768.81,Some text
2016-01-22,economic,1972631.26,Some text
2016-01-27,economic,5919836.98,Some text
2016-01-29,economic,1984077.12,Some text
2016-02-01,economic,1983938.73,Some text
2016-02-02,economic,3967462.30,Some text
2016-02-04,economic,3966908.74,Some text
2016-02-06,economic,1983246.79,Some text
2016-02-08,economic,1983108.40,Some text
2016-02-10,economic,1982970.01,Some text
2016-02-11,economic,1982831.62,Some text
2016-02-15,economic,1982693.23,Some text
2016-02-16,economic,4038395.42,Some text
2016-02-17,economic,4047221.26,Some text
2016-02-18,economic,2023398.71,Some text
2016-02-22,economic,8379308.05,Some text
2016-02-23,economic,2094461.28,Some text
2016-02-24,economic,4200631.08,Some text
2016-02-26,economic,4212190.74,Some text
2016-02-29,economic,2105874.66,Some text
2016-03-01,economic,12646697.14,Some text
2016-03-03,economic,4224079.31,Some text
2016-03-04,economic,2111818.18,Some text
2016-03-08,economic,2139673.77,Some text
2016-03-15,economic,6418123.68,Some text
2016-03-16,economic,6649248.76,Some text
2016-03-17,economic,4432057.37,Some text
2016-03-22,economic,2215796.15,Some text
2016-03-23,economic,2222575.06,Some text
2016-03-24,economic,4444683.59,Some text
2016-03-28,economic,2222108.53,Some text
2016-03-31,economic,2221953.02,Some text
2016-04-01,economic,2221797.51,Some text
2016-04-05,economic,9090103.58,Some text
2016-04-11,economic,6999613.29,Some text
2016-04-12,economic,2338655.54,Some text
2016-04-15,economic,4907334.10,Some text
2016-04-18,economic,7381800.09,Some text
2016-04-20,economic,2468329.78,Some text
2016-04-21,economic,4944360.88,Some text
2016-04-22,economic,2476030.52,Some text
2016-04-27,economic,2475857.01,Some text
2016-04-29,economic,12415944.20,Some text
2016-05-03,economic,7483714.60,Some text
2016-05-06,economic,4988268.51,Some text
2016-05-09,economic,7566544.78,Some text
2016-05-10,economic,5481895.52,Some text
2016-05-11,economic,5510603.29,Some text
2016-05-12,economic,2755011.66,Some text
2016-05-13,economic,2798405.67,Some text
2016-05-16,economic,11478363.20,Some text
2016-05-17,economic,2900443.50,Some text
2016-05-18,economic,8700108.84,Some text
2016-05-19,economic,5799054.50,Some text
2016-05-20,economic,5798240.06,Some text
2016-05-23,economic,5845650.54,Some text
2016-05-24,economic,2946628.93,Some text
2016-05-25,economic,8866174.39,Some text
2016-05-26,economic,11884344.74,Some text
2016-05-27,economic,2970564.19,Some text
2016-05-30,economic,11963565.14,Some text
2016-05-31,economic,12016117.63,Some text
2016-06-01,economic,3003501.29,Some text
2016-06-02,economic,3003290.05,Some text
2016-06-08,economic,12181009.28,Some text
2016-06-09,economic,3061850.52,Some text
2016-06-10,economic,3061635.07,Some text
2016-06-14,economic,3061419.63,Some text
2016-06-15,economic,3086396.38,Some text
2016-06-16,economic,9272785.36,Some text
2016-06-17,economic,9329578.25,Some text
2016-06-20,economic,6287500.33,Some text
2016-06-21,economic,3165641.69,Some text
2016-06-22,economic,3185567.90,Some text
2016-06-23,economic,6428174.13,Some text
2016-06-30,economic,3351693.04,Some text
2016-07-01,economic,6709709.86,Some text
2016-07-04,economic,6715796.06,Some text
2016-07-05,economic,6714849.67,Some text
2016-07-06,economic,6734854.87,Some text
2016-07-08,economic,3370563.16,Some text
2016-07-11,economic,6740413.57,Some text
2016-07-12,economic,3369850.41,Some text
2016-07-14,economic,3369612.83,Some text
2016-07-18,economic,3369375.25,Some text
2016-07-20,economic,3369137.67,Some text
2016-07-22,economic,3368900.09,Some text
2016-07-25,economic,3368662.51,Some text
2016-07-26,economic,3384274.32,Some text
2016-07-27,economic,3403197.62,Some text
2016-07-28,economic,13753275.60,Some text
2016-07-29,economic,3462424.76,Some text
2016-08-01,economic,7078992.84,Some text
2016-08-02,economic,7099708.01,Some text
2016-08-04,economic,3549478.19,Some text
2016-08-05,economic,7132611.64,Some text
2016-08-08,economic,10753640.88,Some text
2016-08-09,economic,10779665.86,Some text
2016-08-10,economic,7185175.11,Some text
2016-08-12,economic,7336317.26,Some text
2016-08-16,economic,3682154.59,Some text
2016-08-17,economic,11149892.29,Some text
2016-08-18,economic,11147528.69,Some text
2016-08-26,economic,7490465.78,Some text
2016-08-29,economic,7511160.97,Some text
2016-09-01,economic,3755182.21,Some text
2016-09-09,economic,7521448.27,Some text
2016-09-12,economic,3779769.47,Some text
2016-09-14,economic,3801494.25,Some text
2016-09-15,economic,3823117.25,Some text
2016-09-16,economic,7674399.12,Some text
2016-09-19,economic,3845432.92,Some text
2016-09-20,economic,19294107.05,Some text
2016-09-21,economic,3895493.99,Some text
2016-09-22,economic,3895218.28,Some text
2016-09-23,economic,3894942.57,Some text
2016-09-27,economic,3894666.87,Some text
2016-09-30,economic,11738562.51,Some text
2016-10-04,economic,11778525.40,Some text
2016-10-05,economic,8085464.92,Some text
2016-10-07,economic,4042302.95,Some text
2016-10-10,economic,4042016.60,Some text
2016-10-12,economic,4041730.26,Some text
2016-10-13,economic,4138303.50,Some text
2016-10-14,economic,4152185.44,Some text
2016-10-17,economic,8339793.62,Some text
2016-10-18,economic,4226834.33,Some text
2016-10-21,economic,4226534.77,Some text
2016-10-24,economic,13195055.74,Some text
2016-10-25,economic,4417697.75,Some text
2016-10-28,economic,4417384.55,Some text
2016-10-31,economic,8836098.63,Some text
