,cat,year,month,sum
185,fee,2018,10,142876694.52999997
186,fee,2018,11,110343889.38000001
187,fee,2018,12,94941069.9
188,fee,2019,01,89419384.15
189,fee,2019,02,181082240.92000002
190,fee,2019,03,157725085.1
191,fee,2019,04,132126388.07000001
192,fee,2019,05,85116240.25
193,fee,2019,06,132996967.82999998
194,fee,2019,07,105875162.96
195,fee,2019,08,87157197.08
196,fee,2019,09,78345907.42
197,fee,2019,10,99039099.07999998
198,fee,2019,11,80183926.05000001
199,fee,2019,12,71038875.41
200,fee,2020,01,30550817.059999995
201,fee,2020,02,112594398.97
202,fee,2020,03,124277885.92000002
203,fee,2020,04,52509100.239999995
204,fee,2020,05,127301274.4
205,fee,2020,06,161089154.99999997
206,fee,2020,07,140521388.53
207,fee,2020,08,97709679.75
208,fee,2020,09,130957555.10000001
209,fee,2020,10,76442408.13
210,urban,2015,01,27758267.280000005
211,urban,2015,02,43266034.98
212,urban,2015,03,62408826.61999999
213,urban,2015,04,44302636.18
214,urban,2015,05,78299993.21000001
215,urban,2015,06,162128857.2
216,urban,2015,07,107819592.36000003
217,urban,2015,08,125907319.36999999
218,urban,2015,09,150100559.07
219,urban,2015,10,164029579.14
220,urban,2015,11,159523806.10999998
221,urban,2015,12,79368952.44000001
222,urban,2016,01,98692232.35
223,urban,2016,02,168553935.78000003
224,urban,2016,03,169479883.16
225,urban,2016,04,184634021.29000002
226,urban,2016,05,364010324.24999994
227,urban,2016,06,196721134.57000002
228,urban,2016,07,209684180.92999998
229,urban,2016,08,257254544.49999997
230,urban,2016,09,199560442.4
231,urban,2016,10,203839092.75
232,urban,2016,11,238940349.10000002
233,urban,2016,12,195804203.02
234,urban,2017,01,168132765.35999998
235,urban,2017,02,233066198.21
236,urban,2017,03,302927473.67
237,urban,2017,04,334945339.28
238,urban,2017,05,438298267.66
239,urban,2017,06,438931567.57
240,urban,2017,07,373286075.30000013
241,urban,2017,08,356180940.0
242,urban,2017,09,248822013.06
243,urban,2017,10,394052169.26000005
244,urban,2017,11,399378031.68999994
245,urban,2017,12,253609175.54000002
246,urban,2018,01,271859077.11
247,urban,2018,02,209710801.27999997
248,urban,2018,03,368382952.3000001
249,urban,2018,04,321157680.11999995
250,urban,2018,05,326521439.59000003
251,urban,2018,06,328667603.73
252,urban,2018,07,197086957.34999996
253,urban,2018,08,198032589.71000004
254,urban,2018,09,183872077.06999996
255,urban,2018,10,265639787.2
256,urban,2018,11,207770595.48000002
257,urban,2018,12,179426565.07999998
258,urban,2019,01,167290192.10999998
259,urban,2019,02,340135862.99
260,urban,2019,03,291900771.10999995
261,urban,2019,04,241546157.84
262,urban,2019,05,157805981.57
263,urban,2019,06,247203971.53999996
264,urban,2019,07,194810884.52
265,urban,2019,08,160557103.82
266,urban,2019,09,143400239.57
267,urban,2019,10,179473385.7
268,urban,2019,11,143591692.57
269,urban,2019,12,126349598.43
270,urban,2020,01,54362443.61
271,urban,2020,02,199975506.22
272,urban,2020,03,223145166.21000004
273,urban,2020,04,93456764.79
274,urban,2020,05,225361336.76
275,urban,2020,06,282717202.01
276,urban,2020,07,247835978.11
277,urban,2020,08,172432406.57
278,urban,2020,09,230644443.61
279,urban,2020,10,135682274.87
